48236,Galium mollugo,ForestWetRich
48835,Galium mollugo,ForestWetRich
49433,Galium mollugo,ForestWetRich
49434,Galium mollugo,ForestWetRich
50032,Galium mollugo,ForestWetRich
50033,Galium mollugo,ForestWetRich
50631,Galium mollugo,ForestWetRich
50632,Galium mollugo,ForestWetRich
50673,Galium mollugo,ForestWetRich
50674,Galium mollugo,ForestWetRich
50675,Galium mollugo,ForestWetRich
50676,Galium mollugo,ForestWetRich
50677,Galium mollugo,ForestWetRich
50678,Galium mollugo,ForestWetRich
50679,Galium mollugo,ForestWetRich
50680,Galium mollugo,ForestWetRich
50681,Galium mollugo,ForestWetRich
50682,Galium mollugo,ForestWetRich
50683,Galium mollugo,ForestWetRich
50684,Galium mollugo,ForestWetRich
50685,Galium mollugo,ForestWetRich
50686,Galium mollugo,ForestWetRich
50687,Galium mollugo,ForestWetRich
50688,Galium mollugo,ForestWetRich
50689,Galium mollugo,ForestWetRich
50690,Galium mollugo,ForestWetRich
50691,Galium mollugo,ForestWetRich
50692,Galium mollugo,ForestWetRich
51230,Galium mollugo,ForestWetRich
51231,Galium mollugo,ForestWetRich
51272,Galium mollugo,ForestWetRich
51273,Galium mollugo,ForestWetRich
51274,Galium mollugo,ForestWetRich
51275,Galium mollugo,ForestWetRich
51276,Galium mollugo,ForestWetRich
51277,Galium mollugo,ForestWetRich
51278,Galium mollugo,ForestWetRich
51279,Galium mollugo,ForestWetRich
51280,Galium mollugo,ForestWetRich
51281,Galium mollugo,ForestWetRich
51282,Galium mollugo,ForestWetRich
51283,Galium mollugo,ForestWetRich
51284,Galium mollugo,ForestWetRich
51285,Galium mollugo,ForestWetRich
51286,Galium mollugo,ForestWetRich
51287,Galium mollugo,ForestWetRich
51288,Galium mollugo,ForestWetRich
51289,Galium mollugo,ForestWetRich
51290,Galium mollugo,ForestWetRich
51291,Galium mollugo,ForestWetRich
51828,Galium mollugo,ForestWetRich
51829,Galium mollugo,ForestWetRich
51830,Galium mollugo,ForestWetRich
51871,Galium mollugo,ForestWetRich
51872,Galium mollugo,ForestWetRich
51873,Galium mollugo,ForestWetRich
51874,Galium mollugo,ForestWetRich
51875,Galium mollugo,ForestWetRich
51876,Galium mollugo,ForestWetRich
51877,Galium mollugo,ForestWetRich
51878,Galium mollugo,ForestWetRich
51879,Galium mollugo,ForestWetRich
51880,Galium mollugo,ForestWetRich
51881,Galium mollugo,ForestWetRich
51882,Galium mollugo,ForestWetRich
51883,Galium mollugo,ForestWetRich
51884,Galium mollugo,ForestWetRich
51885,Galium mollugo,ForestWetRich
51886,Galium mollugo,ForestWetRich
51887,Galium mollugo,ForestWetRich
51888,Galium mollugo,ForestWetRich
51889,Galium mollugo,ForestWetRich
51890,Galium mollugo,ForestWetRich
52427,Galium mollugo,ForestWetRich
52428,Galium mollugo,ForestWetRich
52429,Galium mollugo,ForestWetRich
52470,Galium mollugo,ForestWetRich
52471,Galium mollugo,ForestWetRich
52472,Galium mollugo,ForestWetRich
52473,Galium mollugo,ForestWetRich
52474,Galium mollugo,ForestWetRich
52475,Galium mollugo,ForestWetRich
52476,Galium mollugo,ForestWetRich
52477,Galium mollugo,ForestWetRich
52478,Galium mollugo,ForestWetRich
52479,Galium mollugo,ForestWetRich
52480,Galium mollugo,ForestWetRich
52481,Galium mollugo,ForestWetRich
52482,Galium mollugo,ForestWetRich
52483,Galium mollugo,ForestWetRich
52484,Galium mollugo,ForestWetRich
52485,Galium mollugo,ForestWetRich
52486,Galium mollugo,ForestWetRich
52487,Galium mollugo,ForestWetRich
52488,Galium mollugo,ForestWetRich
52489,Galium mollugo,ForestWetRich
53026,Galium mollugo,ForestWetRich
53027,Galium mollugo,ForestWetRich
53028,Galium mollugo,ForestWetRich
53069,Galium mollugo,ForestWetRich
53070,Galium mollugo,ForestWetRich
